ID;case;order;nv;SS;HT;C;NT;ST;HM;SHM;SH;SSS;SHT;CS;NTS;STS;Score3;Score3W1;Score3W2;Score3WEXP2
1;A;P;I;326,44633;35,84103;26;57,64404;290,6053;3;0,428571429;0,543575573;0,15150597;0,658579718;0,454545455;0,721015587;0,182549637;0,475421563;0,49072039;0,363062605;0,431061559
2;B;P;I;103,94625;48,4607;14;51,70504;55,48555;7;1;0,747524926;0,799249637;0,495049853;0,818181818;0,816089619;0,890374695;0,818042765;0,806312967;0,807111861;0,800901591
3;B;P;I;308,02157;72,60407;24;90,73381;235,4175;6;0,857142857;0,519667461;0,20514425;0,182192065;0,515151515;0,19130051;0,348691817;0,393702826;0,421066738;0,490418863;0,475794564
4;B;P;D;81,6436575;16,2163575;21;48,38599;65,4273;7;1;0,956441363;0,864177088;0,912882726;0,606060606;0,86922238;0,860445181;0,823042382;0,794575419;0,703649121;0,844847128
5;B;P;I;335,61381;86,66391;19;61,895;248,9499;7;1;0,5;0,124817543;0;0,666666667;0,652964416;0,307952696;0,531895945;0,560646921;0,573562611;0,493654841
6;A;P;I;207,24888;32,94798;41;102,6838;174,3009;6;0,857142857;0,776605838;0,498514355;0,696068818;0;0;0,532682574;0,327322103;0,436429471;0,679036532;0,521473562
7;B;P;I;137,9712313;51,28150125;12;47,55753;86,68973;7;1;0,729248488;0,700195892;0,458496975;0,878787879;0,882484719;0,796434902;0,821738997;0,821430927;0,842603711;0,783429939
8;B;P;I;378,4886613;27,24546125;25;68,82331;351,2432;7;1;0,884981973;0;0,769963945;0,484848485;0,54205309;0;0,477970887;0,544659802;0,770672345;0,563703108
9;A;P;D;91,2539;25,0646;15;46,26238;66,1893;6;0,857142857;0,827683563;0,836199688;0,798224268;0,787878788;0,903218029;0,85815119;0,844232892;0,850965937;0,859764189;0,825349276
10;B;P;I;156,15366;68,60256;8;44,9536;87,5511;3;0,428571429;0,331308193;0,647263089;0,234044957;1;0,924169535;0,793841759;0,762329872;0,695744906;0,595613088;0,614114536
11;A;P;I;246,39424;39,81324;23;81,88554;206,581;7;1;0,803553252;0,384554131;0,607106504;0,545454545;0,33294737;0,435503738;0,529364727;0,441767846;0,384225554;0,647016197
12;A;P;I;156,56784;62,97583;12;47,09903;93,59201;7;1;0,653478994;0,646057325;0,306957989;0,878787879;0,889824581;0,775655675;0,799436782;0,741270111;0,747411444;0,740350386
13;A;P;D;151,24982;49,97402;19;57,45828;101,2758;7;1;0,737719875;0,661539179;0,475439751;0,666666667;0,723989312;0,752523722;0,720224894;0,720224894;0,735610329;0,723657535
14;A;P;D;34,98846;9,49348;23;40,21669;25,49498;4;0,571428571;0,785714286;1;1;0,545454545;1;0,98066093;0,82795744;0,811711887;0,747680891;0,774386012
15;B;P;D;212,0968263;34,78652625;35;60,41697;177,3103;7;1;0,836122163;0,484400983;0,672244327;0,181818182;0,676625347;0,523622813;0,554547126;0,580588739;0,641462641;0,59442133
16;B;P;I;222,733;13,405;24;77,41995;209,328;7;1;0,974656614;0,453436885;0,949313228;0,515151515;0,40443443;0,427233929;0,580369122;0,618661214;0,736789821;0,722924668
17;A;P;I;51,60565;32,53457;8;46,54389;19,07108;7;1;0,850712961;0,951623929;0,701425922;1;0,898711498;1;0,937356115;0,933356237;0,910427777;0,92535648
18;B;P;D;74,51852;13,22784;34;50,63198;61,29068;5;0,714285714;0,83294732;0,884919835;0,951608926;0,212121212;0,833267619;0,872898424;0,687808644;0,687781952;0,736134819;0,687728569
19;A;P;D;71,66248;18,008;30;44,87777;53,65448;7;1;0,944833014;0,893234357;0,889666029;0,333333333;0,925383454;0,895887108;0,774859227;0,829059128;0,868999274;0,779721618
20;A;P;I;133,65715;43,6933;12;63,49974;89,96385;7;1;0,778413701;0,712755074;0,556827401;0,878787879;0,627275057;0,786578205;0,767763711;0,767763711;0,800121437;0,805548371
21;A;P;D;218,55149;36,60839;30;49,79478;181,9431;7;1;0,824318006;0,465610124;0,648636013;0,333333333;0,846669872;0,509675827;0,62849926;0,597246188;0,590001602;0,622911293
22;A;P;D;80,64363;14,7933;13;50,23072;65,85033;7;1;0,965661588;0,867088375;0,931323177;0,848484848;0,839691159;0,859171655;0,878252313;0,880608495;0,892293453;0,90974492
23;A;P;D;103,20102;20,431;20;48,388;82,77002;6;0,857142857;0,857705425;0,801419156;0,858267992;0,636363636;0,869190203;0,80823514;0,792873601;0,798910254;0,842511222;0,790002406
24;B;P;D;108,19186;18,95608;29;50,86497;89,23578;5;0,714285714;0,795833104;0,78688979;0,877380494;0,363636364;0,829537816;0,788770051;0,694444334;0,694444334;0,621541797;0,686018156
25;B;P;D;119,22538;11,91058;21;54,3616;107,3148;6;0,857142857;0,912910637;0,754768936;0,968678417;0,606060606;0,773562279;0,734343388;0,756719228;0,749260614;0,734343388;0,791556317
26;B;P;D;86,77499;45,58403;19;48,82294;41,19096;2;0,285714286;0,409020491;0,84923872;0,532326696;0,666666667;0,862227499;0,933408379;0,717830759;0,723762499;0,801553445;0,604529007
27;A;P;I;226,9136;31,324;20;72,34607;195,5896;7;1;0,858556444;0,441266295;0,717112889;0,636363636;0,485659253;0,46859321;0,612293136;0,610870966;0,624578504;0,705517434
28;B;P;D;137,0514263;22,38602625;20;49,6382;114,6654;7;1;0,916467057;0,702873635;0,832934114;0,636363636;0,849176471;0,712214499;0,778555416;0,784162965;0,865403918;0,795378062
1;B;S;D;291,98089;56,33509;24;63,76416;235,6458;7;1;0,696505449;0,251841981;0,393010898;0,515151515;0,62304211;0,348004522;0,545675899;0,580839588;0,522254986;0,564041734
2;A;S;D;93,68494;44,57703;12;46,57941;49,10791;7;1;0,772687868;0,829122429;0,545375735;0,878787879;0,898142879;0,9095745;0,864798281;0,851778145;0,863931679;0,833434529
3;A;S;D;126,85995;37,29603;14;54,29702;89,56392;7;1;0,819862673;0,732543126;0,639725346;0,818181818;0,774596103;0,78778219;0,800105696;0,80387791;0,814235783;0,811422338
4;A;S;I;64,88909;13,89298;10;46,92677;50,99611;7;1;0,971494911;0,912953093;0,942989821;0,939393939;0,892582192;0,903890098;0,926840285;0,923222879;0,923253022;0,946568465
5;A;S;D;194,6259;22,938;27;48,52902;171,6879;7;1;0,912890728;0,535262456;0,825781455;0,424242424;0,866932695;0,540548978;0,686153706;0,713352349;0,56399163;0,697643214
6;B;S;D;78,62586;25,36201;23;70,49319;53,26385;7;1;0,897185165;0,87296252;0,794370331;0,545454545;0,515320942;0,897063095;0,713755937;0,774878668;0,897136337;0,809221993
7;A;S;D;60,38571;32,87003;13;46,682;27,51568;7;1;0,84853946;0,926063362;0,69707892;0,848484848;0,896500574;0,974577638;0,89202563;0,88802432;0,901519899;0,880035352
8;A;S;D;175,29171;26,80501;16;60,9053;148,4867;6;0,857142857;0,816407158;0,591548274;0,775671459;0,757575758;0,668807953;0,6103959;0,713296692;0,723101926;0,767207423;0,750196493
9;B;S;I;104,1087163;28,66971625;11;44,11637;75,439;7;1;0,875753989;0,798776664;0,751507977;0,909090909;0,937572268;0,830305084;0,888180562;0,905049094;0,916159906;0,872725993
10;A;S;D;120,42331;43,83688;9;51,12049;76,58643;6;0,857142857;0,706054851;0,751281514;0,554966844;0,96969697;0,825447343;0,82685076;0,832012481;0,810159256;0,775081085;0,802164358
11;B;S;D;46,03723125;10,84740125;18;46,71514;35,18983;7;1;0,99122772;0,967834746;0,98245544;0,696969697;0,895970055;0,951474705;0,883910544;0,889243018;0,92372238;0,907724961
12;B;S;D;81,9259;29,22147;21;61,86903;52,70443;6;0,857142857;0,800750513;0,863355422;0,744358169;0,606060606;0,653380155;0,898747222;0,739734624;0,780520509;0,801011215;0,776577214
13;B;S;I;210,20364;66,01134;14;70,64573;144,1923;7;1;0,633811422;0,489912439;0,267622845;0,818181818;0,512879017;0,623324137;0,647049099;0,647049099;0,59175274;0,6772822
14;B;S;I;30,75669;11,06973;9;44,21552;19,68696;4;0,571428571;0,775501501;1,012319556;0,97957443;0,96969697;0,935985033;0,998145901;0,919832351;0,901278651;0,853912139;0,879711468
15;A;S;I;156,86548;27,96268;17;68,30283;128,9028;6;0,857142857;0,808906422;0,645190834;0,760669987;0,727272727;0,550385155;0,669352985;0,688979322;0,700608775;0,689171176;0,753609639
16;A;S;D;94,30486;12,889;24;54,41302;81,41586;6;0,857142857;0,906571292;0,827317714;0,955999727;0,515151515;0,772739126;0,812311822;0,751693439;0,784311754;0,860521134;0,78515148
17;B;S;D;27,8831975;17,1397975;13;48,09906;10,7434;7;1;0,950458242;1,020684886;0,900916484;0,848484848;0,873815677;1,025070376;0,924457286;0,945559627;0,980303096;0,943617927
18;A;S;I;157,19056;32,01676;20;83,05076;125,1738;6;0,857142857;0,782639366;0,644244459;0,708135875;0,636363636;0,314294034;0,680579093;0,603469032;0,64249781;0,741250032;0,720555365
19;B;S;I;51,76063;15,66099;15;51,69188;36,09964;7;1;0,960039681;0,951172751;0,920079362;0,787878788;0,81630029;0,948735734;0,878238623;0,916541929;0,939432408;0,914173471
20;B;S;D;153,43561;65,64108;12;64,44601;87,79453;7;1;0,636210398;0,655175893;0,272420796;0,878787879;0,612126766;0,793108916;0,73005849;0,73005849;0,716105598;0,736079398
21;B;S;I;125,88016;51,37686;10;42,9942;74,5033;6;0,857142857;0,657202071;0,735395497;0,457261285;0,939393939;0,955536441;0,833121997;0,846313612;0,839164405;0,94746519;0,77173002
22;B;S;I;113,09061;27,29679;13;48,93003;85,79382;6;0,857142857;0,813220834;0,772628518;0,76929881;0,848484848;0,860513156;0,799132028;0,830337717;0,824220264;0,81479559;0,818514636
23;B;S;I;202,95499;27,46999;10;59,24903;175,485;7;1;0,883527214;0,511014755;0,767054427;0,939393939;0,695322226;0,529117856;0,761840309;0,760006924;0,666481476;0,808891556
24;A;S;I;119,77153;31,28111;17;53,18474;88,49042;5;0,714285714;0,715977193;0,75317898;0,717668672;0,727272727;0,792401954;0,791013948;0,756666455;0,756666455;0,735502758;0,737560265
25;A;S;I;131,36144;45,45984;16;84,61727;85,9016;7;1;0,766967995;0,719438359;0,533935991;0,757575758;0,289216677;0,798807558;0,653141997;0,701697184;0,798807558;0,772579827
26;A;S;I;101,897;46,26992;15;81,84477;55,62708;2;0,285714286;0,404576496;0,805215427;0,523438706;0,787878788;0,333600034;0,889948621;0,604000984;0,650363367;0,792041628;0,6217451
27;B;S;D;106,38706;16,545;23;53,83496;89,84206;7;1;0,954312034;0,792143935;0,908624068;0,545454545;0,781992956;0,786944853;0,767176097;0,767588755;0,853891725;0,810255866
28;A;S;I;83,76172625;24,18152625;14;59,35295;59,5802;7;1;0,904833715;0,858010953;0,80966743;0,818181818;0,693658631;0,878047802;0,823680492;0,841278415;0,898137237;0,876474263
